id,user,temp,gasDetect,fireDetect,lightLevel,humidity,pressure,month,hour,day,year
82,Jane,15.1,0,0,0,39.4,1010.7,6,7,19,2020
83,John,15.66,0,0,0,55.83,1036.33,5,18,21,2023
84,John,15.21,0,0,0,51.53,1003.9,6,16,16,2023
85,Jane,16.67,0,0,494,45.47,987.61,9,22,30,2020
86,Default,27.92,1,0,556,56.91,1018.27,1,5,6,2022
87,Default,25.12,0,0,552,52.74,1028.19,1,5,17,2023
88,John,15.62,0,0,401,45.11,1009.14,11,21,25,2022
89,Jane,16.53,0,0,264,57.09,1004.77,4,4,24,2022
90,Jane,17.97,0,0,136,62.45,1006.34,9,16,13,2021
91,Jane,14.54,0,0,0,72.26,998.29,10,13,1,2022
92,Jane,15.47,0,0,93,56.65,1006.28,8,18,5,2020
93,John,11.93,0,0,0,70.66,990.93,9,13,21,2021
94,Jane,15.11,0,0,273,55.51,1000.52,11,11,24,2020
95,Default,29.6,0,0,554,56.45,1016.35,1,5,31,2020
96,Default,25.25,0,1,334,75.87,995.53,1,5,21,2020
97,Jane,13.26,0,0,0,36.51,1011.53,8,12,7,2020
98,Jane,11.31,0,0,152,78.59,1011.47,1,4,23,2023
99,Jane,12.9,0,0,575,40.61,1016.74,6,23,9,2020
100,Jane,11.4,0,0,0,65.18,997.17,9,9,3,2020
101,Default,23.35,1,0,349,72.03,1002.24,1,5,13,2024
102,Jane,14.8,0,0,0,41.69,1007.79,10,8,19,2021
103,Default,23.78,0,0,337,79.71,1002.04,1,5,10,2021
104,Default,23.62,0,0,330,76.05,1007.91,1,5,16,2023
105,Default,27.15,0,0,509,63.71,990.04,1,6,7,2022
106,John,11.97,0,0,179,61.99,1015.6,11,4,23,2022
107,Default,27.59,0,0,492,79.14,1021.89,1,6,18,2023
108,Default,25.86,0,0,491,71.71,1005.82,1,6,27,2023
109,Default,26.83,0,0,497,64.03,993.3,1,6,18,2023
110,Jane,17.45,0,0,0,57.59,990.84,10,2,1,2021
111,Jane,13.37,0,0,0,37.48,1008.17,6,11,19,2022
112,Jane,17.79,0,0,31,55.54,1024.59,3,5,2,2020
113,Default,24.13,0,0,299,74.01,1010.64,1,6,12,2020
114,Default,23.33,0,0,302,76.44,1009.62,1,6,17,2021
115,Jane,13.98,0,0,0,50.88,1033.6,5,17,3,2021
116,Jane,13.98,0,0,0,50.54,993.64,9,12,4,2024
117,Jane,15.57,0,0,12,51.88,991.48,12,10,31,2023
118,John,7.36,0,0,0,63.39,1025.92,2,13,19,2023
119,Default,25.5,0,0,289,74.87,1007.91,1,6,9,2021
120,Jane,17.83,0,0,272,61.23,1001.33,4,2,21,2022
121,Jane,16.49,0,0,49,53.11,1039.91,3,0,8,2020
122,Jane,13.95,0,0,408,65.32,1015.36,1,18,7,2020
123,John,15.09,0,0,233,70.17,1011.22,11,16,22,2022
124,Default,25.63,0,0,308,79.67,1024.41,1,6,13,2024
125,Jane,12.18,0,0,0,43.45,1020.17,5,18,27,2022
126,Jane,13.73,0,0,284,40.46,982.81,9,19,24,2023
127,John,13.92,0,0,0,43.06,1015.22,7,23,8,2021
128,Jane,13.31,0,0,481,68.7,992.29,2,16,19,2022
129,John,17.76,0,0,323,40.37,1015.05,8,22,31,2020
130,Default,26.71,1,0,465,74.9,991.12,1,7,25,2023
131,John,14.99,0,0,0,30.28,1008.13,7,15,27,2021
132,Default,27.34,0,0,463,61.64,992.37,1,7,3,2021
133,John,14.68,0,0,0,32.7,1012.95,6,8,25,2023
134,Default,26.63,0,0,450,72.26,996.78,1,7,21,2021
135,Jane,13.84,0,0,0,64.5,1026.89,5,4,13,2021
136,Jane,13.97,0,0,0,33.58,1010.95,6,20,21,2020
137,John,13.71,0,0,0,62.36,1003.65,5,4,15,2022
138,John,20.93,0,0,138,62.72,1014.6,2,18,1,2024
139,Jane,20.72,0,0,470,59.01,1000.26,2,22,19,2022
140,John,15.1,0,0,0,67.18,1011.64,9,1,9,2022
141,Jane,14.82,0,0,0,58.31,1008.34,8,4,4,2020
142,John,15.16,0,0,0,49.77,1013.23,10,4,4,2020
143,Jane,19.46,0,0,315,55.11,1008.74,8,22,30,2023
144,Default,25.93,1,0,435,54.52,1008.47,1,7,15,2020
145,Default,24.35,1,0,277,59.13,1025.55,1,7,17,2021
146,Default,26.78,0,0,267,66.1,1023.13,1,7,13,2022
147,Jane,15.87,0,0,312,61.43,993.01,9,21,15,2020
148,John,14.18,0,0,0,34.26,1003.88,6,3,5,2022
149,Jane,19.62,0,0,422,45.55,996.74,9,21,15,2024
150,Jane,13.52,0,0,247,52.39,994.39,12,17,1,2020
151,John,7.86,0,0,0,67.4,997.71,2,10,26,2024
152,Default,24.21,0,0,267,57.92,1012.24,1,7,20,2024
153,Default,24.84,1,0,271,70.84,1021.9,1,7,12,2020
154,Default,26.15,0,0,405,70.88,1004.38,1,8,30,2023
155,Jane,15.66,0,0,0,47.77,981.32,10,4,29,2023
156,Default,27.16,0,0,408,51.38,1027.19,1,8,27,2021
157,Default,25.69,0,0,223,59.76,1013.32,1,8,7,2023
158,Default,22.31,0,0,218,75.18,1005.35,1,8,3,2020
159,John,17.59,0,0,325,57.97,1000.02,8,21,25,2024
160,Default,25.65,0,0,359,63.86,1012.23,1,9,20,2023
161,Default,23.94,0,0,192,68.32,994.01,1,9,5,2021
162,John,15.47,0,0,0,62.76,1009.15,10,1,4,2020
163,John,14.57,0,0,0,49.93,1019.84,9,8,27,2020
164,John,13.89,0,0,0,60.23,1012.43,5,12,22,2021
165,Default,24.32,0,0,310,73.47,994.69,1,10,26,2021
166,Default,25.78,0,0,325,70.49,1008.58,1,10,14,2024
167,John,9.11,0,0,0,62.22,1004.04,4,15,27,2023
168,Jane,11.67,0,0,255,55.14,1007.03,3,9,26,2024
169,Jane,14.61,0,0,0,63.35,993.95,10,12,21,2020
170,Jane,11.35,0,0,0,48.68,1010.44,7,16,3,2024
171,Jane,15.04,0,0,394,43.6,1009.69,9,21,8,2023
172,John,8.87,0,0,0,48.01,1035.21,4,10,19,2024
173,Jane,14.46,0,0,0,63.16,1002.54,9,4,24,2023
174,Default,23.65,0,0,332,59.07,1014.47,1,10,22,2024
175,John,12.11,0,0,0,63.36,1000.48,10,10,19,2022
176,Default,21.35,0,0,150,77.03,1012.06,1,10,27,2020
177,Default,22.79,0,0,189,55.72,1000.23,1,10,29,2020
178,Jane,15.71,0,0,26,54.19,984.05,11,17,29,2021
179,Default,20.52,0,0,176,76.76,1005.54,1,10,22,2021
180,John,14.19,0,0,0,30.62,1000.22,7,6,20,2024
181,John,11.46,0,0,0,58.07,1012.38,8,13,28,2020
182,Jane,11.73,0,0,2,48.64,1024.37,4,12,11,2023
183,Default,24.19,0,0,307,70.25,1023.79,1,11,23,2023
184,Jane,11.11,0,0,130,58.02,1015.15,4,10,17,2024
185,Default,20.9,0,1,315,72.79,1023.93,1,11,13,2024
186,Default,19.06,0,0,158,71.88,1006.08,1,11,25,2022
187,John,15.11,0,0,0,56.71,1028.1,5,13,13,2020
188,Jane,13.66,0,0,167,50.91,992.99,1,14,28,2024
189,Jane,18.29,0,0,310,58.71,1004.38,8,21,29,2023
190,Jane,11.05,0,0,288,45.47,996.97,11,5,12,2024
191,Jane,15.57,0,0,0,33.71,1008.95,7,0,20,2021
192,Jane,18.98,0,0,337,46.53,1004.36,8,22,16,2023
193,Default,21.85,0,1,158,76.73,1023.32,1,11,1,2021
194,Default,21.27,0,0,293,77.81,1026.74,1,12,11,2024
195,John,15.09,0,0,0,51.53,1019.68,8,15,11,2020
196,Jane,12.32,0,0,293,79.96,1015.91,12,15,9,2022
197,Default,18.94,0,0,157,67.2,1004.22,1,12,3,2024
198,John,7.82,0,0,0,64.86,996.43,2,8,21,2023
199,Jane,11.05,0,0,0,46.87,1012.17,7,17,10,2021
200,Default,22.3,0,0,314,79.25,999.62,1,13,15,2024
201,Jane,13.93,0,0,285,41.91,1010.9,3,9,15,2022
202,Default,15.39,0,0,159,72.06,1023.52,1,13,25,2023
203,John,15.53,0,0,271,52.9,1019.3,9,17,20,2022
204,Default,19.74,0,0,333,69.78,1011.35,1,14,1,2024
205,John,14.42,0,0,0,53.54,1014.88,5,8,19,2020
206,John,3.76,0,0,0,70.48,1013.6,11,12,8,2023
207,John,15.19,0,0,0,45.05,1003.25,7,2,20,2023
208,Default,14.39,0,0,169,74.84,1024.37,1,14,1,2024
209,Jane,17.23,0,0,210,55.38,987.01,9,19,11,2020
210,John,15.61,0,0,0,43.51,1018.92,10,10,13,2022
211,Jane,13.64,0,0,0,56.73,1002.35,6,12,26,2023
212,Jane,17.57,0,0,26,49.43,1026.0,3,6,1,2024
213,John,6.82,0,0,0,55.8,982.16,11,12,22,2023
214,John,18.94,0,0,499,40.07,987.18,11,18,11,2021
215,John,9.09,0,0,0,56.1,1010.76,3,13,19,2022
216,Default,17.95,0,0,399,78.73,1028.23,1,16,12,2024
217,John,17.47,0,0,252,33.86,1009.39,8,19,7,2021
218,John,15.45,0,0,419,48.35,1001.1,8,22,10,2024
219,Jane,14.91,0,0,300,60.24,994.21,10,20,31,2024
220,Jane,13.3,0,0,181,69.24,1015.65,1,17,3,2023
221,Jane,13.06,0,0,236,59.05,1000.67,8,20,19,2023
222,Jane,12.04,0,0,70,58.65,1020.83,4,14,11,2022
223,Jane,11.81,0,0,269,56.78,997.98,1,5,6,2023
224,Default,18.36,0,0,394,79.61,1013.55,1,16,16,2021
225,Jane,13.26,0,0,0,58.81,1000.37,5,9,6,2023
226,Default,11.22,0,0,219,69.59,1006.86,1,16,26,2024
227,John,16.45,0,0,321,79.66,1002.15,1,21,16,2024
228,Jane,11.89,0,0,188,69.84,995.08,1,2,15,2024
229,Default,13.01,0,0,239,61.13,1019.65,1,16,18,2024
230,John,15.84,0,0,0,56.94,1011.06,6,17,11,2021
231,Default,17.72,0,0,501,52.73,996.13,1,18,27,2021
232,Default,17.96,0,0,504,53.72,1022.21,1,18,31,2022
233,John,9.93,0,0,109,53.57,1014.96,12,5,30,2021
234,Default,15.63,0,0,505,61.73,990.17,1,18,24,2024
235,Default,12.02,0,0,294,54.9,991.42,1,18,29,2022
236,Default,10.28,0,0,283,50.05,1020.87,1,18,29,2023
237,John,14.31,0,0,0,50.7,984.79,10,12,29,2024
238,John,13.06,0,0,194,32.59,1001.0,8,18,23,2023
239,Default,13.32,0,0,306,51.93,994.46,1,18,17,2020
240,Jane,11.22,0,0,101,40.63,1019.05,11,1,6,2021
241,Default,17.11,0,0,547,54.28,1014.84,1,19,16,2021
242,Jane,19.75,0,0,583,64.48,1004.76,3,22,14,2024
243,Default,17.85,0,0,551,61.23,1001.36,1,19,7,2021
244,John,7.43,0,0,0,59.92,1020.77,3,8,14,2024
245,Default,14.08,0,0,355,77.39,1016.68,1,19,6,2024
246,Jane,14.29,0,0,0,31.24,1010.06,7,6,13,2020
247,Default,9.74,0,0,329,76.05,992.71,1,19,7,2022
248,Default,17.75,0,0,598,54.36,990.59,1,20,5,2020
249,Jane,11.96,0,0,52,42.48,1014.46,3,11,31,2020
250,Jane,12.39,0,0,0,35.11,1013.51,7,8,31,2021
251,John,6.88,0,0,0,66.19,1022.91,12,11,15,2022
252,John,7.52,0,0,214,45.42,1017.84,11,4,13,2024
253,Default,16.83,0,0,607,68.74,998.02,1,20,22,2024
254,Default,10.7,0,0,356,58.56,1028.91,1,20,20,2024
255,Jane,11.66,0,0,198,76.99,1009.02,12,0,10,2022
256,Jane,11.14,0,0,202,64.85,994.47,11,11,6,2020
257,Jane,15.35,0,0,582,51.54,1020.81,1,19,22,2021
258,Jane,20.48,0,0,546,54.81,1028.98,3,21,8,2024
259,Default,12.4,0,0,392,62.06,1015.49,1,20,16,2022
260,Jane,11.44,0,0,0,61.31,1020.36,5,9,8,2021
261,Jane,16.57,0,0,301,53.52,1007.11,8,22,3,2021
262,Default,19.38,0,0,648,64.79,1002.14,1,21,14,2021
263,Jane,10.99,0,0,127,58.37,990.83,12,6,14,2023
264,Default,17.74,0,0,638,62.8,1008.08,1,21,27,2024
265,John,5.7,0,0,0,57.17,994.72,11,15,28,2021
266,Jane,12.39,0,0,0,69.82,1005.1,5,20,23,2021
267,Default,14.05,0,0,397,78.41,1025.44,1,21,13,2020
268,John,4.46,0,0,0,47.9,1008.61,11,11,18,2022
269,Jane,13.62,0,0,0,36.36,1009.52,7,21,20,2021
270,Default,11.95,0,0,414,76.11,1028.92,1,21,29,2023
271,Jane,14.93,0,0,0,72.08,1007.07,10,23,3,2022
272,Jane,12.2,0,0,273,43.86,1000.91,3,11,4,2021
273,Default,20.74,0,0,669,50.36,1000.46,1,22,19,2022
274,John,9.78,0,0,0,42.27,1013.74,3,12,1,2022
275,John,19.16,0,0,160,47.52,1011.89,3,16,14,2022
276,John,15.32,0,0,292,37.34,1017.39,8,19,24,2022
277,Jane,14.62,0,0,0,56.93,1008.51,7,5,26,2024
278,Jane,14.66,0,0,0,35.33,1018.47,6,3,26,2022
279,Jane,13.19,0,0,0,53.07,1009.55,5,1,31,2021
280,Default,16.55,0,0,418,68.44,1025.92,1,22,26,2021
281,John,7.63,0,0,0,46.61,1033.37,4,9,8,2021
282,John,14.23,0,0,0,51.76,1002.64,7,20,24,2021
283,John,6.46,0,0,0,74.52,1011.05,12,8,11,2021
284,Default,19.79,0,0,686,77.57,1017.58,1,23,27,2024
285,John,7.3,0,0,0,59.72,1005.69,2,13,9,2024
286,Jane,14.56,0,0,419,62.08,997.43,2,19,25,2021
287,Default,19.54,0,0,703,79.12,1020.58,1,23,25,2021
288,Jane,17.25,0,0,194,54.54,1001.73,4,2,4,2023
289,Jane,17.2,0,0,282,75.89,1016.33,2,6,23,2024
290,John,13.91,0,0,0,54.78,1005.36,6,9,25,2024
291,Jane,13.8,0,0,0,58.38,1019.74,7,7,21,2021
292,Default,16.59,0,0,447,53.49,1003.05,1,23,23,2020
293,Default,15.85,0,0,452,79.38,993.02,1,23,10,2020
294,Default,20.5,1,1,701,69.18,1007.39,2,0,13,2024
295,Default,22.09,1,0,724,63.51,991.92,2,0,15,2024
296,Default,18.96,1,1,473,62.03,1019.88,2,0,20,2024
297,John,12.07,0,0,0,51.59,1015.75,8,13,21,2022
298,John,13.95,0,0,185,69.95,982.57,9,16,28,2024
299,John,14.29,0,0,0,53.9,1014.58,4,0,25,2024
300,Jane,12.76,0,0,106,57.29,1015.9,1,10,27,2020
301,John,9.84,0,0,0,54.91,1033.42,4,11,4,2021
302,Default,18.53,1,0,439,54.95,994.13,2,0,17,2021
303,John,15.19,0,0,0,51.65,1029.12,4,5,10,2020
304,John,14.37,0,0,0,44.54,1024.09,5,5,22,2023
305,Default,23.97,0,0,687,72.48,1020.16,2,1,26,2020
306,Jane,13.94,0,0,205,63.4,1015.56,12,8,20,2020
307,Jane,15.38,0,0,0,44.07,1012.53,9,3,20,2022
308,Default,20.83,0,0,451,73.74,1026.53,2,1,3,2022
309,John,15.28,0,0,0,56.38,1018.54,5,10,17,2023
310,Jane,15.29,0,0,0,58.89,982.77,10,7,8,2021
311,Jane,14.68,0,0,0,60.1,985.4,10,3,31,2023
312,Jane,12.7,0,0,0,53.25,1013.02,6,14,7,2022
313,Default,24.58,0,0,674,70.27,995.68,2,2,12,2023
314,Default,21.39,0,0,426,58.56,995.52,2,2,28,2021
315,Jane,16.89,0,0,195,62.21,1027.85,4,6,15,2024
316,Jane,15.18,0,0,0,40.33,1037.04,5,3,24,2024
317,John,15.87,0,0,0,45.22,1008.55,7,15,1,2022
318,Jane,14.57,0,0,0,57.02,1038.07,5,5,24,2023
319,Jane,17.49,0,0,89,52.82,1013.03,2,7,7,2024
320,John,10.61,0,0,135,66.2,998.55,11,6,16,2023
321,Default,27.26,1,1,597,58.11,990.24,2,4,4,2024
322,Default,24.37,1,1,380,56.21,1006.1,2,4,5,2021
323,Default,26.52,1,0,561,62.85,999.47,2,5,26,2023
324,Jane,13.51,0,0,548,66.41,1011.94,5,23,12,2022
325,Jane,10.3,0,0,154,71.13,1024.7,12,1,6,2021
326,Default,28.44,1,0,555,59.17,999.89,2,5,19,2023
327,Jane,11.66,0,0,102,55.04,1001.43,12,6,20,2022
328,Jane,12.76,0,0,391,42.71,1037.28,3,17,6,2023
329,John,21.4,0,0,535,45.76,1030.41,4,22,14,2020
330,Jane,12.88,0,0,0,34.4,1012.83,6,12,9,2024
331,John,13.64,0,0,0,47.14,1033.21,5,7,29,2022
332,Jane,13.75,0,0,108,73.19,1006.06,1,11,19,2020
333,Jane,11.48,0,0,0,48.18,985.24,10,15,23,2023
334,Jane,12.56,0,0,255,69.38,1027.16,3,12,15,2022
335,Default,25.25,1,0,319,73.73,999.4,2,5,17,2021
336,Jane,15.56,0,0,509,56.29,997.62,1,19,20,2022
337,John,7.82,0,0,0,77.93,1026.79,12,10,19,2021
338,Default,24.41,1,0,342,50.67,1017.05,2,5,16,2021
339,John,7.91,0,0,0,56.63,999.09,1,10,28,2023
340,John,21.1,0,0,569,42.97,1031.85,4,21,1,2020
341,Default,27.82,1,0,495,66.83,993.67,2,6,27,2024
342,John,11.58,0,0,0,54.49,1009.57,9,15,20,2021
343,Default,24.71,1,0,306,73.19,1014.95,2,6,7,2024
344,John,12.37,0,0,0,52.22,986.65,10,10,1,2024
345,John,15.74,0,0,0,52.1,1002.47,6,12,30,2024
346,Jane,12.66,0,0,0,40.02,1004.82,7,21,17,2024
347,Default,25.9,0,0,436,55.08,998.19,2,7,4,2022
348,John,13.3,0,0,0,52.88,1000.71,6,6,9,2023
349,Default,26.87,0,0,455,75.64,1000.4,2,7,22,2023
350,Default,26.0,0,0,454,74.92,1018.63,2,7,24,2024
351,Jane,13.38,0,0,511,32.85,1011.18,7,23,8,2022
352,Jane,15.29,0,0,0,50.57,1037.36,5,5,25,2021
353,Jane,14.27,0,0,0,36.55,1015.18,8,23,31,2023
354,Default,24.33,0,0,265,71.72,995.84,2,7,9,2023
355,Jane,14.05,0,0,231,79.1,1007.99,1,14,3,2020
356,Default,26.48,0,0,277,53.12,1004.03,2,7,23,2024
357,Default,24.24,0,0,272,59.4,1007.28,2,7,19,2021
358,Default,26.19,0,1,412,63.09,995.02,2,8,1,2022
359,Jane,12.28,0,0,0,42.4,1000.36,7,21,23,2022
360,Jane,16.91,0,0,415,46.68,981.36,10,22,18,2020
361,Default,23.4,0,1,225,60.94,1007.39,2,8,21,2022
362,John,15.06,0,0,0,59.3,1002.34,7,17,23,2023
363,Jane,11.72,0,0,96,70.26,992.5,11,9,29,2022
364,Default,25.62,0,0,374,63.38,1005.95,2,9,12,2020
365,John,13.42,0,0,0,36.58,1001.69,7,22,30,2021
366,Jane,14.14,0,0,0,69.14,1002.14,10,9,11,2021
367,John,16.63,0,0,81,40.27,1005.05,8,18,11,2020
368,John,15.66,0,0,0,67.83,983.11,10,4,19,2021
369,Default,25.42,0,0,360,75.62,1027.35,2,9,24,2022
370,John,15.89,0,0,0,46.87,1009.18,6,5,4,2024
371,Jane,13.34,0,0,0,57.51,1026.1,5,17,16,2023
372,Default,23.47,0,0,192,66.49,1009.91,2,9,21,2021
373,Default,22.51,0,0,190,70.03,1027.79,2,9,2,2022
374,John,13.31,0,0,0,70.4,996.09,9,1,5,2023
375,John,15.37,0,0,141,67.43,1004.05,10,16,25,2020
376,Default,23.91,0,0,318,62.84,1023.12,2,10,8,2023
377,John,20.33,0,0,340,58.69,1002.03,4,22,19,2021
378,Jane,11.07,0,0,16,52.49,1009.01,1,13,16,2020
379,Jane,14.51,0,0,496,79.8,994.99,2,19,28,2020
380,Jane,15.6,0,0,223,59.18,1000.81,12,14,9,2023
381,Default,23.16,0,0,173,70.4,1005.85,2,10,29,2020
382,Default,21.05,0,0,299,63.28,1000.09,2,13,21,2023
383,Default,20.87,1,0,301,50.91,997.95,2,13,28,2020
384,John,14.87,0,0,0,33.26,1015.85,7,4,29,2023
385,Default,21.66,0,0,307,62.5,996.0,2,13,20,2024
386,Default,17.92,0,0,133,78.03,1008.95,2,13,27,2022
387,Jane,12.34,0,0,0,55.08,1016.71,5,11,7,2020
388,Jane,16.27,0,0,110,63.35,1008.83,3,2,7,2024
389,Default,15.19,1,0,131,53.84,1013.16,2,13,29,2024
390,Jane,17.03,0,0,60,49.8,986.89,10,18,12,2022
391,Jane,14.27,0,0,0,54.59,1015.31,8,12,29,2023
392,John,7.73,0,0,0,51.52,1008.61,12,13,19,2023
393,John,14.61,0,0,0,41.8,1014.08,7,23,18,2022
394,Jane,17.18,0,0,0,30.73,1011.14,8,2,25,2024
395,Default,15.25,0,0,159,60.72,1027.38,2,13,11,2021
396,John,14.19,0,0,0,39.44,1008.71,7,22,9,2021
397,Default,18.9,0,0,324,61.79,1024.79,2,14,25,2023
398,Jane,11.23,0,0,198,62.0,1011.46,3,10,7,2020
399,John,14.62,0,0,0,69.37,1030.67,4,0,27,2023
400,Jane,11.98,0,0,0,69.33,986.73,10,8,29,2024
401,John,6.0,0,0,29,65.91,1015.6,1,0,15,2023
402,John,13.04,0,0,157,40.51,1017.92,8,20,20,2020
403,John,13.12,0,0,0,59.33,1003.62,8,10,25,2024
404,John,17.71,0,0,251,33.0,1012.58,8,16,22,2022
405,John,14.64,0,0,0,55.36,1006.95,7,11,17,2023
406,John,15.9,0,0,0,59.53,1007.2,8,9,18,2021
407,John,14.8,0,0,0,45.79,1015.57,10,12,30,2023
408,John,13.36,0,0,0,56.87,1037.66,5,13,5,2021
409,Default,14.92,0,0,164,65.55,999.3,2,14,5,2024
410,Default,18.88,0,0,417,68.19,1024.99,2,16,21,2020
411,Jane,11.76,0,0,115,65.36,1031.99,4,15,5,2024
412,Default,16.33,0,0,401,61.2,1009.01,2,16,8,2021
413,Default,11.51,0,0,220,55.41,997.25,2,16,15,2024
414,Default,13.24,0,0,216,56.65,1018.5,2,16,26,2021
415,Default,17.31,0,0,431,77.17,995.15,2,17,12,2024
416,Jane,15.93,0,0,487,41.96,1012.15,8,21,17,2024
417,Default,17.02,0,0,433,78.98,1021.86,2,17,18,2021
418,Jane,11.87,0,0,0,50.55,1001.74,5,13,17,2022
419,Default,11.63,0,0,261,62.48,1003.68,2,17,3,2023
420,Jane,12.19,0,0,184,41.12,994.15,11,14,23,2022
421,Jane,11.47,0,0,0,54.19,998.66,9,10,4,2023
422,John,13.13,0,0,0,43.55,1006.77,7,18,4,2022
423,Jane,10.5,0,0,236,77.94,1016.59,1,2,1,2020
